trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2319,False,"{'a': 0.9, 'e': 0.09837190834314173}",20,0,24.533122790630827,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2320,False,"{'a': 0.9, 'e': 0.09827358560436154}",25,18,0.4553825212262068,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2321,False,"{'a': 0.9, 'e': 0.09817536113917512}",25,16,18.561735141262705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2322,False,"{'a': 0.9, 'e': 0.09807723484935806}",20,6,27.6793888627966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2323,False,"{'a': 0.9, 'e': 0.09797920663678401}",30,17,18.263543145321524,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2324,False,"{'a': 0.9, 'e': 0.09788127640342477}",20,14,10.611396264030436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2325,False,"{'a': 0.9, 'e': 0.09778344405135005}",20,5,27.269262377480185,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2326,False,"{'a': 0.9, 'e': 0.09768570948272756}",20,14,13.70326775356021,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2327,False,"{'a': 0.9, 'e': 0.0975880725998227}",20,6,13.276303932289688,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2328,False,"{'a': 0.9, 'e': 0.09749053330499859}",25,10,29.97863991391493,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2329,False,"{'a': 0.9, 'e': 0.09739309150071584}",25,8,18.38101544087428,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2330,False,"{'a': 0.9, 'e': 0.09729574708953276}",30,12,32.89957430635101,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2331,False,"{'a': 0.9, 'e': 0.09719849997410487}",20,4,22.581778573863904,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
2332,False,"{'a': 0.9, 'e': 0.09710135005718508}",20,0,14.77609663936575,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2333,False,"{'a': 0.9, 'e': 0.09700429724162336}",25,12,24.15465423374181,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2334,False,"{'a': 0.9, 'e': 0.09690734143036704}",20,6,2.816175656614231,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2335,False,"{'a': 0.9, 'e': 0.09681048252646021}",35,23,18.67710940311037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2336,False,"{'a': 0.9, 'e': 0.09671372043304398}",25,13,25.188517179811505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2337,False,"{'a': 0.9, 'e': 0.09661705505335619}",20,15,11.212058229969657,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2338,False,"{'a': 0.9, 'e': 0.09652048629073155}",35,13,23.295886919217338,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
2339,False,"{'a': 0.9, 'e': 0.09642401404860125}",25,0,-18.150078036304276,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
2340,False,"{'a': 0.9, 'e': 0.09632763823049303}",25,3,27.0735423187485,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2341,False,"{'a': 0.9, 'e': 0.09623135874003103}",25,7,29.292536256015037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2342,False,"{'a': 0.9, 'e': 0.09613517548093582}",20,6,23.313088895395648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2343,False,"{'a': 0.9, 'e': 0.09603908835702411}",25,4,32.51006969272708,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2344,False,"{'a': 0.9, 'e': 0.09594309727220877}",25,13,7.629602922455958,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2345,False,"{'a': 0.9, 'e': 0.09584720213049865}",25,12,25.13091066856772,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2346,False,"{'a': 0.9, 'e': 0.09575140283599869}",30,19,8.547503600317945,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2347,False,"{'a': 0.9, 'e': 0.09565569929290954}",20,12,15.900245123489952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2348,False,"{'a': 0.9, 'e': 0.09556009140552765}",20,7,22.649998022702835,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2349,False,"{'a': 0.9, 'e': 0.0954645790782451}",30,19,18.143347547955496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2350,False,"{'a': 0.9, 'e': 0.09536916221554961}",20,4,5.952674632129925,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
2351,False,"{'a': 0.9, 'e': 0.09527384072202429}",20,9,16.985265037495278,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2352,False,"{'a': 0.9, 'e': 0.09517861450234763}",20,13,14.820199444711127,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2353,False,"{'a': 0.9, 'e': 0.09508348346129337}",20,6,2.3205245319888066,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2354,False,"{'a': 0.9, 'e': 0.09498844750373053}",20,15,0.7564270939350843,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
2355,False,"{'a': 0.9, 'e': 0.09489350653462311}",25,17,1.7578651408912758,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2356,False,"{'a': 0.9, 'e': 0.09479866045903014}",25,11,11.673479981785036,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2357,False,"{'a': 0.9, 'e': 0.09470390918210547}",35,9,48.52123985002502,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
